Player,Runs Scored,Batting Average,Batting Strike Rate,Wickets Taken,Bowling Average,Bowling Strike Rate,Type
JJ Bumrah (INDIA),19,3.8,43.18,103,21.88,29.2,Bowler
ST Finn (ENG),136,8,60.98,102,29.37,34.8,Bowler
Kuldeep Yadav (INDIA),118,13.11,62.76,99,24.79,29.8,Bowler
LE Plunkett (ENG),646,20.83,102.7,98,28.06,29,Bowler
PJ Cummins (AUS),260,9.62,73.23,96,27.11,31.5,Bowler
TL Chatara (ZIM),45,6.6,49.1,95,30.57,36.1,Bowler
CJ McKay (AUS),190,9.04,56.37,94,24.05,30.2,Bowler
SP Narine (WI),363,11,82.31,92,26.46,38.4,Bowler
MJ Henry (NZ),211,15.07,100,92,26.48,29.3,Bowler
TT Bresnan (ENG),871,19.79,90.25,92,33.67,37,Bowler
GH Dockrell (IRE),579,16.54,69.34,89,37.38,47.5,Bowler
LL Tsotsobe (SA),56,7,51.37,88,25.37,32,Bowler
